Title,Genres,Imdb Score,tags
Alive,"['horror', 'thriller', 'drama']",6.2/10,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out. horror thriller drama YooAh-in ParkShin-hye"
AnneFrank - Parallel Stories,"['documentary', 'drama']",6.4/10,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren. documentary drama HelenMirren GengherGatti"
2 States,"['comedy', 'drama']",7.0/10,"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences. comedy drama AliaBhatt ArjunKapoor RonitRoy AmritaSingh Revathy AruKrishanshVerma"
13 Reasons Why,"['crime', 'mystery', 'drama']",7.5/10,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice. crime mystery drama DylanMinnette KatherineLangford KateWalsh DerekLuke Briand'ArcyJames AlishaBoe ChristianNavarro MilesHeizer RossButler DevinDruid MicheleSeleneAng StevenSilver AmyHargreaves"
13 Reasons Why: Beyond the Reasons,"['crime', 'documentary']",7.7/10,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."" crime documentary DylanMinnette KatherineLangford KateWalsh DerekLuke AlishaBoe JustinPrentice BrandonFlynn MilesHeizer ChristianNavarro BrianYorkey TomMcCarthy SelenaGomez MandyTeefey JayAsher Dr.RonaHu Dr.HelenHsu Dr.RebeccaHedrick AlexisJones ElaineWelteroth JuliaBicknell Dr.ChristineMoutier NicSheff CarrieGoldberg AnneWinters JoyGorman BrandonButler MarissaJoCerar SusanneTimms"
15-Aug,"['comedy', 'drama']",5.9/10,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy. comedy drama RahulPethe MrunmayeeDeshpande AdinathKothare VaibhavMangale JaywantWadkar SatishPulekar NainaApte UdayTikekar"
3 Idiots,"['comedy', 'drama']",8.4/10,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system. comedy drama AamirKhan KareenaKapoor Madhavan SharmanJoshi OmiVaidya BomanIrani MonaSingh JavedJaffrey"
365 Days,"['romance', 'drama']",3.5/10,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him. romance drama Anna-MariaSieklucka MicheleMorrone BronisÅ‚awWrocÅ‚awski OtarSaralidze MagdalenaLamparska NataszaUrbaÅ„ska GraÅ¼ynaSzapoÅ‚owska TomaszStockinger GianniParisi MateuszÅasowski"
2012,"['sci-fi', 'action', 'adventure', 'fantasy']",6.0/10,"When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos. sci-fi action adventure fantasy JohnCusack AmandaPeet ChiwetelEjiofor ThandieNewton OliverPlatt TomMcCarthy WoodyHarrelson DannyGlover LiamJames MorganLily"
21 Again,['drama'],4.8/10,"In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z. drama LauraMorgan"
